date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:38	1032938/1032938	--FM--	200	added ('OK')	text/html		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files.html	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files.html	(from )
17:00:39	68750/68750	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/publishertag.prebid.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/publishertag.prebid.js.download	(from )
17:00:39	21188/21188	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/amp4ads-host-v0.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/amp4ads-host-v0.js.download	(from )
17:00:39	75082/75082	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/osd.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/osd.js.download	(from )
17:00:39	4666/4666	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/feed-card-placeholder.20200507-29-RELEASE.es6.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/feed-card-placeholder.20200507-29-RELEASE.es6.js.download	(from )
17:00:39	22871/22871	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/userx.20200507-29-RELEASE.es6.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/userx.20200507-29-RELEASE.es6.js.download	(from )
17:00:39	43/43	---M--	200	added ('OK')	image/gif	etag:%22493ea254-2b%22	https://static.criteo.net/images/pixel.gif?ch=1	D:/web/Vikramnantha/static.criteo.net/images/pixelf60c.gif	(from )
17:00:39	43/43	---M--	200	added ('OK')	image/gif	etag:%22493ea254-2b%22	https://static.criteo.net/images/pixel.gif?ch=2	D:/web/Vikramnantha/static.criteo.net/images/pixel8a10.gif	(from )
17:00:40	358712/358712	---M-Z	200	added ('OK')	application/javascript	etag:%2206bc2717bab3176a61d656e1addeaa15%22	http://cdn.taboola.com/libtrc/zeemedia-zeenews-english/loader.js	D:/web/Vikramnantha/cdn.taboola.com/libtrc/zeemedia-zeenews-english/loader.js	(from )
17:00:40	90032/90032	--FM--	200	added ('OK')	text/css		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/dev4.zeenews.com_app_min.css	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/dev4.zeenews.com_app_min.css	(from )
